,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-08-03,221.18338930750397,197.57246316608908,245.8065547055532,221.18338930750397,221.18338930750397,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,-0.6385461912675928,0.0,0.0,0.0,220.5448431162364
1,2022-08-04,221.6471619951307,198.2945153051978,246.15486192006796,221.6471619951307,221.6471619951307,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.28614327020299934,0.0,0.0,0.0,221.9333052653337
2,2022-08-05,222.11093468275743,199.4412885720493,247.77702264441024,222.11093468275743,222.11093468275743,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,-0.2024667917108925,0.0,0.0,0.0,221.90846789104654
3,2022-08-08,223.50225274563755,199.28686642945033,245.29819993347277,223.50225274563755,223.50225274563755,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,-1.485918236398384,0.0,0.0,0.0,222.01633450923916
4,2022-08-09,223.96602543326426,198.1901492167462,244.5693551357762,223.96602543326426,223.96602543326426,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,-2.9261513560959567,0.0,0.0,0.0,221.03987407716832
5,2022-08-10,224.42979812089098,198.71464417755993,246.39382795787597,224.42979812089098,224.42979812089098,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,-0.6385461912660955,0.0,0.0,0.0,223.79125192962488
6,2022-08-11,224.8935708085177,200.94876184853274,249.10601023174635,224.8935708085177,224.8935708085177,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.28614327020221364,0.0,0.0,0.0,225.1797140787199
7,2022-08-12,225.3573434961444,199.51635635766243,249.2558049768035,225.3573434961444,225.3573434961444,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,-0.20246679171503276,0.0,0.0,0.0,225.15487670442937
8,2022-08-15,226.74866155902455,199.9424736964824,248.96558008442426,226.74866155902455,226.74866155902455,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,-1.4859182364027954,0.0,0.0,0.0,225.26274332262176
9,2022-08-16,227.21243424869328,198.48356629843,246.53909636681925,227.21243424869328,227.21243424869328,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,-2.9261513560936314,0.0,0.0,0.0,224.28628289259964
10,2022-08-17,227.676206938362,201.7016729495684,250.96057136026857,227.676206938362,227.676206938362,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,-0.638546191264598,0.0,0.0,0.0,227.0376607470974
11,2022-08-18,228.13997962803074,204.01991602382438,251.52806497361215,228.13997962803074,228.13997962803074,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.28614327020460273,0.0,0.0,0.0,228.42612289823535
12,2022-08-19,228.60375231769947,205.072009002251,251.14760464983098,228.60375231769947,228.60375231769947,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,-0.20246679171410442,0.0,0.0,0.0,228.40128552598537
13,2022-08-22,229.99507038670563,204.6931620800925,252.02285253167008,229.99507038670563,229.99507038670563,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,-1.4859182363885546,0.0,0.0,0.0,228.50915215031708
14,2022-08-23,230.45884307637436,203.13538863544693,250.57052116546967,230.45884307637436,230.45884307637436,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,-2.926151356098837,0.0,0.0,0.0,227.53269172027552
15,2022-08-24,230.9226157660431,205.2462214021114,254.1818095326003,230.9226157660431,230.9226157660431,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,-0.6385461912631007,0.0,0.0,0.0,230.28406957478
16,2022-08-25,231.38638845571182,206.84369951998622,256.5125736314522,231.38638845571182,231.38638845571182,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.286143270203817,0.0,0.0,0.0,231.67253172591563
17,2022-08-26,231.85016826106474,208.28718018429336,256.33000985624017,231.85016826106474,231.85016826106474,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,-0.20246679171334928,0.0,0.0,0.0,231.64770146935138
18,2022-08-29,233.24150767712354,208.164093260579,255.2582118890371,233.24150767712354,233.24150767712354,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,-1.4859182363929662,0.0,0.0,0.0,231.75558944073057
19,2022-08-30,233.70528748247648,206.18592266470944,254.90263141901494,233.70528748247648,233.70528748247648,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,-2.92615135609762,0.0,0.0,0.0,230.77913612637886
20,2022-08-31,234.1690672878294,209.13087868206014,258.16353319289425,234.1690672878294,234.1690672878294,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,-0.6385461912607918,0.0,0.0,0.0,233.5305210965686
